Session,Character,Success Rate (%)
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,dfd73010,13.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,3bea77d7,10.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c5018cc8,24.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,84b19b9a,5.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1f8d74da,8.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,63c08582,24.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a6e5193e,44.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,bb573925,8.524999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,ca121609,15.424999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e3d46ab7,31.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b9215b1b,93.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b2d4190e,77.22500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,40aaa587,8.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8ba90b13,14.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c8b2cafa,7.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,132cbf18,90.72500000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8dbdef4f,7.2250000000000005
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7f8137e5,14.825000000000001
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,d529fa0b,70.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,974413c7,87.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,5d584807,84.525
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,392c95bd,39.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,9fc0f200,72.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,6cd9db84,39.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,99e5f422,5.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,28c88aa7,21.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,a92567e0,23.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1b02ea55,15.424999999999999
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f8e4101a,65.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,6e58bc4f,89.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f409075d,68.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,0d4844b9,26.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e1d271ce,30.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,0fca0598,103.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,04f82432,56.025000000000006
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,105a1da9,8.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,72942387,6.2250000000000005
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,1623ac85,31.025
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,812847d5,68.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,025a18c4,52.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4d441bca,117.425
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,36e3c82a,9.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4a767ce7,36.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,93fff92c,28.325
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,41acfc22,53.125
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,c29ec9cf,32.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,acba3b9e,18.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4526a1af,49.625
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,2aa33d9d,73.925
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,e3c9d687,26.724999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,f90a942f,16.224999999999998
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,7fe1a60c,9.725
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,4255ae87,37.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,8356ccb2,32.225
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #288,40.425000000000004
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,b6d65d38,37.825
crititcalrole/testing\(2x01)_CuriousBeginnings.txt,No name from Charater #290,18.025
